frame,capture_us,preprocess_us,inference_us,nms_us,thumbnail_us,grpc_us,e2e_us,num_dets
459,4342,83010,97955,0,6020,8996,454012,0
460,5004,77294,98366,1,4659,10027,464273,1
461,3935,83360,92426,1,3843,19679,482911,1
462,3613,80933,85890,3,4723,9949,472727,2
463,3852,94495,89319,2,5004,10779,478683,0
464,4321,94249,87204,0,3972,7494,462828,0
465,5007,86857,77668,0,3902,8160,441876,0
466,3679,81502,75539,0,4517,8492,426267,0
467,4154,85660,74719,0,3988,9082,415372,0
468,3943,82566,77168,0,4064,7763,401122,0
469,3558,74150,82538,0,3599,9886,398575,0
470,3753,70562,74604,1,3849,11439,396955,1
471,10083,65131,80358,1,3715,7752,398994,1
472,4047,72743,88233,3,4425,9495,414255,1
473,3566,78271,104470,1,6980,7515,442279,1
474,3256,71347,91870,0,6958,8191,452793,0
475,3292,77500,86359,1,5657,8010,462884,1
476,4682,86137,88879,2,3457,11422,471749,1
477,5232,94948,84524,1,3736,55418,509228,1
478,3662,87831,84340,1,3939,8801,446820,1
479,3666,82491,82461,1,3641,8624,437080,1
480,4555,85175,87778,1,4107,10085,440275,2
481,4534,78103,83827,1,4390,7821,431841,1
482,4432,79852,97756,1,5184,7595,447055,1
483,4975,77162,80455,1,5228,25059,460504,1
484,3607,83369,87000,1,5006,10402,450241,1
485,3695,80157,87078,1,5223,22775,462611,1
486,3830,93385,88636,1,5301,8447,452722,1
487,4106,76349,83317,1,4054,12237,441067,1
488,3885,82761,85739,1,7892,32012,469797,1
489,4626,81673,82575,1,3564,8497,437635,2
490,3566,85001,88810,1,4162,9364,441329,1
491,3781,79528,88140,1,3768,8698,439545,1
492,3615,81939,83983,1,4476,7918,439909,1
493,3512,79386,84197,1,6728,7719,440441,2
494,3666,84967,87174,1,3735,8820,442622,1
495,4400,83719,86797,1,6901,30107,465064,1
496,4602,77956,85876,2,3414,15582,444337,1
497,3554,80668,82691,2,3599,12873,441715,1
498,3377,84052,93996,0,4596,9431,448766,0
499,4416,81280,92090,1,4881,10065,453890,1
500,4169,82661,89517,0,3873,7284,453509,0
501,3710,77588,80488,1,3464,7765,446746,1
502,3621,90320,77813,0,3047,8013,442907,0
503,4972,87000,74655,0,4425,7448,424048,0
504,3790,85419,74076,1,4385,9090,407463,1
505,3952,75720,94153,1,5534,8310,412478,1
506,13311,63966,91160,0,3219,62499,475629,0
507,4135,71373,75163,0,5293,9150,421892,0
508,3737,69769,74555,0,3472,19420,429195,0
509,3949,89511,74362,0,4744,8358,419906,0
510,4820,85503,73648,0,3260,6570,396459,1
511,4317,70950,75899,0,3369,7929,383034,0
512,3675,70510,72978,1,3930,7134,380283,1
513,3401,70224,76280,1,3201,7960,382293,2
514,3786,70938,75972,1,4066,9015,386503,1
515,4796,69419,77694,1,5074,8460,389392,1
516,9569,63827,76051,1,4188,14632,396300,3
517,3881,71856,84225,2,3466,10988,402527,3
518,4201,71431,79352,2,4038,12640,407975,3
519,4742,72220,80955,3,5006,8427,409637,3
520,3402,72435,78766,1,3144,10238,411179,2
521,3656,80877,81044,1,3630,9959,416309,1
522,3372,75302,76779,0,4926,10440,410157,0
523,3941,77046,73764,1,4062,7575,401309,1
524,3690,74848,79801,1,3935,7711,399961,2
525,4428,76392,74768,1,2992,7405,394548,3
526,3360,73005,77886,2,3603,8048,392661,2
527,3655,70166,79035,2,5172,7451,396093,2
528,4112,76672,74283,2,4050,7622,395416,3
529,3980,69683,85874,1,3455,9644,401654,2
530,4685,72461,80037,2,4088,9570,408237,4
531,3570,75022,76542,1,3365,8665,405821,3
532,3778,70595,78773,2,5692,9168,408690,3
533,4593,81704,87519,2,3695,23498,433838,3
534,3567,75015,80772,2,4890,8350,414132,4
535,3477,73540,75987,2,3736,6804,408615,4
536,4180,76079,77522,3,3708,15147,416900,4
537,4968,79218,76979,2,5022,10810,410074,3
538,3565,77068,80513,3,3646,54029,448036,4
539,4003,72278,77764,2,4823,8409,400485,4
540,4519,72141,80484,2,5007,7394,403466,4
541,3490,73303,80231,2,3882,6988,405228,4
542,3719,76335,83174,0,5154,9757,415335,0
543,3761,74220,75968,1,4044,7834,407996,1
544,4223,75768,83297,1,4932,7735,413874,1
545,3735,76680,78666,1,4408,7828,411937,1
546,4064,78559,87415,1,3926,10124,420467,1
547,3779,72121,77804,1,3242,10487,415087,1
548,4109,78760,86256,1,4476,20909,436898,1
549,4018,74683,77218,1,4098,7400,417156,1
550,4113,83031,78736,1,4931,8254,418392,1
551,3844,74230,76529,2,4086,9766,408263,2
552,4490,81729,80200,1,5687,10308,412134,2
553,3780,71680,84340,1,3196,6967,403990,1
554,7676,70774,77412,1,4876,8303,409038,2
555,3729,72907,80910,1,3812,9227,411084,1
556,4052,75532,80823,1,3731,7778,413255,1
557,4815,80118,75371,1,3725,8989,409702,2
558,4322,72071,77242,1,5244,8894,402972,1
559,4472,76597,79580,1,3877,9577,405080,1
560,4863,74375,78069,1,3873,8599,400603,2
561,3571,72785,110677,4,6527,15043,440904,2
562,5004,70457,117124,1,6623,8051,474297,1
563,3776,75678,80476,1,4551,7887,476808,2
564,4226,74120,82527,1,4918,10105,481980,1
565,3472,110210,75210,1,4061,8594,476247,1
566,4845,107063,83351,1,4859,8677,445465,1
567,3530,77867,76973,0,4171,8783,409776,1
568,3858,77180,76025,1,4888,8614,404682,1
569,4032,72267,79224,1,3942,6662,399651,1
570,4151,77524,83055,1,5102,8195,408784,1
571,3495,73129,79840,1,7585,57077,458097,2
572,3470,72450,78120,1,5391,7510,407569,1
573,3293,76560,80347,1,4126,8437,411461,1
574,3902,78207,80371,1,3442,7881,410521,1
575,3994,75872,81890,1,5401,7425,411608,1
576,3605,74260,81374,1,3795,7058,410920,2
577,3545,77225,74969,1,3916,8459,409334,1
578,3835,76357,80629,1,4154,6798,407558,2
579,3974,76858,78372,1,3031,8529,405834,1
580,4295,76900,77739,1,4198,8357,403508,2
581,3897,70582,75329,1,5131,8502,398478,1
582,4346,75634,75070,1,5066,8278,398443,1
583,3654,75743,73373,1,3806,7656,389657,2
584,4408,71506,75090,1,3768,9685,386888,2
585,3745,71416,81397,1,4834,10065,393595,1
